"Wavelength (Angstroms)" "Combined Flux (erg/s/cm2/A)"
5800.0 0.0e+00
5801.5 0.0e+00
# start
5803.0 9.49363e-17
5804.5 9.47203e-17
5806.0 8.82329e-17
5807.5 1.05768e-16
5809.0 9.17762e-17
5810.5 9.82029e-17
5812.0 7.75959e-17
5813.5 6.80040e-17
5815.0 7.00794e-17
5816.5 8.75784e-17
5818.0 8.81216e-17
5819.5 7.63943e-17
5821.0 7.72526e-17
5822.5 8.62869e-17
5824.0 9.10697e-17
5825.5 1.02338e-16
5827.0 8.90365e-17
5828.5 8.96315e-17
5830.0 9.42587e-17
5831.5 8.08207e-17
5833.0 8.46450e-17
5834.5 9.77899e-17
5836.0 1.03041e-16
5837.5 9.68671e-17
5839.0 8.42629e-17
5840.5 8.50176e-17
5842.0 8.98737e-17
5843.5 8.79399e-17
5845.0 8.05771e-17
5846.5 8.24647e-17
5848.0 6.58703e-17
5849.5 6.97811e-17
5851.0 8.52614e-17
5852.5 1.05654e-16
5854.0 9.87636e-17
5855.5 8.09570e-17
5857.0 9.12058e-17
5858.5 8.67962e-17
5860.0 7.92143e-17
5861.5 8.94444e-17
5863.0 9.83551e-17
5864.5 8.98014e-17
5866.0 1.22380e-16
5867.5 1.09190e-16
5869.0 1.00431e-16
5870.5 8.57267e-17
5872.0 1.00370e-16
5873.5 1.09714e-16
5875.0 1.02707e-16
5876.5 1.00933e-16
5878.0 1.02953e-16
5879.5 1.18493e-16
5881.0 9.77353e-17
5882.5 9.65989e-17
5884.0 9.46046e-17
5885.5 9.42792e-17
5887.0 1.10400e-16
5888.5 1.00695e-16
5890.0 8.76920e-17
5891.5 9.42336e-17
5893.0 9.45504e-17
5894.5 1.17112e-16
5896.0 9.53480e-17
5897.5 8.75048e-17
5899.0 7.60939e-17
5900.5 9.87164e-17
5902.0 9.74636e-17
5903.5 1.02931e-16
5905.0 9.92152e-17
5906.5 9.73583e-17
5908.0 9.67917e-17
5909.5 8.97570e-17
5911.0 1.07027e-16
5912.5 1.19810e-16
5914.0 1.04826e-16
5915.5 9.65522e-17
5917.0 8.52823e-17
5918.5 8.79113e-17
5920.0 1.04160e-16
5921.5 9.25290e-17
5923.0 9.04295e-17
5924.5 9.18181e-17
5926.0 7.62276e-17
5927.5 7.89597e-17
5929.0 9.34092e-17
5930.5 9.88533e-17
5932.0 1.08585e-16
5933.5 1.08423e-16
5935.0 9.42879e-17
5936.5 9.03390e-17
5938.0 1.05011e-16
5939.5 9.86402e-17
5941.0 9.76756e-17
5942.5 9.59176e-17
5944.0 9.62425e-17
5945.5 9.96860e-17
5947.0 1.06491e-16
5948.5 9.44268e-17
5950.0 9.86510e-17
5951.5 1.08534e-16
5953.0 9.83528e-17
5954.5 9.39101e-17
5956.0 8.67804e-17
5957.5 9.64746e-17
5959.0 8.99730e-17
5960.5 1.00116e-16
5962.0 1.12207e-16
5963.5 1.18195e-16
5965.0 9.96460e-17
5966.5 8.48318e-17
5968.0 1.03149e-16
5969.5 1.20940e-16
5971.0 1.13619e-16
5972.5 1.13225e-16
5974.0 1.00120e-16
5975.5 9.98607e-17
5977.0 1.00576e-16
5978.5 1.13913e-16
5980.0 1.19571e-16
5981.5 1.25707e-16
5983.0 1.16320e-16
5984.5 1.11841e-16
5986.0 1.20806e-16
5987.5 1.07867e-16
5989.0 1.01003e-16
5990.5 8.81885e-17
5992.0 9.34077e-17
5993.5 1.05192e-16
5995.0 9.28210e-17
5996.5 9.04787e-17
5998.0 9.68473e-17
5999.5 1.02030e-16
6001.0 1.15677e-16
6002.5 1.17037e-16
6004.0 1.04623e-16
6005.5 8.80120e-17
6007.0 8.05392e-17
6008.5 1.08995e-16
6010.0 1.08649e-16
6011.5 8.85313e-17
6013.0 1.14359e-16
6014.5 1.09885e-16
6016.0 9.41504e-17
6017.5 9.90687e-17
6019.0 1.03776e-16
6020.5 9.60575e-17
