"Wavelength (Angstroms)" "Combined Flux (erg/s/cm2/A)"
5800.0 0.0e+00
# start
5801.5 6.36358e-18
5803.0 9.39088e-17
5804.5 1.09926e-16
5806.0 1.10433e-16
5807.5 1.15783e-16
5809.0 1.10213e-16
5810.5 8.99509e-17
5812.0 9.97208e-17
5813.5 1.03091e-16
5815.0 1.01977e-16
5816.5 1.03472e-16
5818.0 1.05661e-16
5819.5 9.68731e-17
5821.0 9.95907e-17
5822.5 9.44381e-17
5824.0 1.03825e-16
5825.5 1.06353e-16
5827.0 9.79523e-17
5828.5 1.15230e-16
5830.0 1.05420e-16
5831.5 1.04649e-16
5833.0 1.02128e-16
5834.5 9.35868e-17
5836.0 9.51356e-17
5837.5 9.56401e-17
5839.0 9.31870e-17
5840.5 1.02087e-16
5842.0 9.74907e-17
5843.5 7.94069e-17
5845.0 9.15354e-17
5846.5 1.04138e-16
5848.0 9.35047e-17
5849.5 1.04318e-16
5851.0 1.09625e-16
5852.5 1.00807e-16
5854.0 1.12693e-16
5855.5 1.05295e-16
5857.0 9.48644e-17
5858.5 1.01091e-16
5860.0 9.87519e-17
5861.5 9.57306e-17
5863.0 9.88810e-17
5864.5 9.87359e-17
5866.0 1.16728e-16
5867.5 1.09855e-16
5869.0 9.41674e-17
5870.5 9.24471e-17
5872.0 1.10999e-16
5873.5 1.03482e-16
5875.0 8.84199e-17
5876.5 9.60237e-17
5878.0 1.02416e-16
5879.5 1.02353e-16
5881.0 1.00737e-16
5882.5 8.38193e-17
5884.0 9.02205e-17
5885.5 1.04569e-16
5887.0 1.07458e-16
5888.5 1.07295e-16
5890.0 1.15647e-16
5891.5 1.22900e-16
5893.0 1.14775e-16
5894.5 8.25902e-17
5896.0 6.75865e-17
5897.5 9.49643e-17
5899.0 1.00054e-16
5900.5 9.08993e-17
5902.0 9.99018e-17
5903.5 1.03752e-16
5905.0 9.30821e-17
5906.5 1.02797e-16
5908.0 1.10290e-16
5909.5 8.53285e-17
5911.0 8.91289e-17
5912.5 9.53950e-17
5914.0 1.06462e-16
5915.5 1.05406e-16
5917.0 1.07471e-16
5918.5 9.48449e-17
5920.0 9.25141e-17
5921.5 9.34329e-17
5923.0 9.25423e-17
5924.5 9.57738e-17
5926.0 9.86426e-17
5927.5 8.59632e-17
5929.0 8.23856e-17
5930.5 8.45406e-17
5932.0 9.24328e-17
5933.5 8.87268e-17
5935.0 8.95753e-17
5936.5 8.39934e-17
5938.0 8.24650e-17
5939.5 8.33071e-17
5941.0 7.26850e-17
5942.5 8.91978e-17
5944.0 9.98344e-17
5945.5 7.95511e-17
5947.0 1.02642e-16
5948.5 9.95787e-17
5950.0 9.42622e-17
5951.5 9.60880e-17
5953.0 9.00415e-17
5954.5 8.31047e-17
5956.0 7.00615e-17
5957.5 9.26622e-17
5959.0 8.95414e-17
5960.5 8.87066e-17
5962.0 9.88678e-17
5963.5 1.00276e-16
5965.0 1.00261e-16
5966.5 8.93188e-17
5968.0 8.12521e-17
5969.5 1.06558e-16
5971.0 1.10904e-16
5972.5 1.03628e-16
5974.0 9.46244e-17
5975.5 1.13175e-16
5977.0 1.02313e-16
5978.5 9.39483e-17
5980.0 8.40758e-17
5981.5 8.80293e-17
5983.0 9.26425e-17
5984.5 9.62151e-17
5986.0 9.72383e-17
5987.5 9.66544e-17
5989.0 8.83738e-17
5990.5 8.97691e-17
5992.0 8.47152e-17
5993.5 9.82807e-17
5995.0 1.03947e-16
5996.5 1.04009e-16
5998.0 9.74512e-17
5999.5 8.98916e-17
6001.0 9.39168e-17
6002.5 1.08070e-16
6004.0 1.06613e-16
6005.5 9.25356e-17
6007.0 8.72042e-17
6008.5 8.29213e-17
6010.0 7.50467e-17
6011.5 8.96716e-17
6013.0 1.01542e-16
6014.5 8.91126e-17
6016.0 8.38686e-17
6017.5 8.27237e-17
6019.0 8.22829e-17
6020.5 9.47407e-17
6022.0 1.07368e-16
6023.5 1.03501e-16
6025.0 9.22111e-17
6026.5 9.75276e-17
6028.0 9.39738e-17
6029.5 9.92174e-17
6031.0 1.01332e-16
6032.5 1.05522e-16
6034.0 9.46380e-17
6035.5 1.00218e-16
6037.0 9.77180e-17
6038.5 1.00107e-16
6040.0 1.04093e-16
6041.5 9.79127e-17
6043.0 1.07593e-16
6044.5 1.04022e-16
6046.0 1.01766e-16
6047.5 9.86177e-17
6049.0 9.65011e-17
6050.5 8.81801e-17
6052.0 7.30813e-17
6053.5 8.47076e-17
6055.0 9.97797e-17
6056.5 9.89777e-17
6058.0 1.02705e-16
6059.5 1.04963e-16
6061.0 1.10106e-16
6062.5 1.14624e-16
6064.0 9.95565e-17
6065.5 9.79879e-17
6067.0 8.80895e-17
6068.5 9.25068e-17
6070.0 1.02337e-16
6071.5 8.81353e-17
6073.0 9.73514e-17
6074.5 1.09519e-16
6076.0 1.11970e-16
6077.5 9.76688e-17
6079.0 8.91527e-17
6080.5 9.18791e-17
6082.0 9.47369e-17
6083.5 9.75720e-17
6085.0 9.47173e-17
6086.5 1.02698e-16
6088.0 9.96904e-17
6089.5 9.77983e-17
6091.0 1.1e-16
6092.5 1.03947e-16
6094.0 1.08711e-16
6095.5 8.78930e-17
6097.0 9.11310e-17
6098.5 9.86782e-17
6100.0 9.89236e-17
6101.5 9.80046e-17
6103.0 9.87070e-17
6104.5 1.04562e-16
6106.0 1.02923e-16
6107.5 9.44766e-17
6109.0 1.01978e-16
6110.5 1.08949e-16
6112.0 1.08694e-16
6113.5 1.17230e-16
6115.0 1.09796e-16
6116.5 9.52670e-17
6118.0 9.33980e-17
6119.5 9.51860e-17
6121.0 1.01258e-16
6122.5 9.99547e-17
6124.0 8.55691e-17
6125.5 9.05448e-17
6127.0 1.00843e-16
6128.5 9.96373e-17
6130.0 9.26469e-17
6131.5 9.89400e-17
6133.0 9.74585e-17
6134.5 9.96405e-17
6136.0 9.72859e-17
6137.5 9.55945e-17
6139.0 9.69484e-17
6140.5 9.75447e-17
6142.0 9.95825e-17
6143.5 9.66883e-17
6145.0 8.86869e-17
6146.5 9.58744e-17
6148.0 1.06267e-16
6149.5 1.16634e-16
6151.0 1.05860e-16
6152.5 9.47661e-17
6154.0 1.05455e-16
6155.5 1.08008e-16
6157.0 1.11233e-16
6158.5 1.07961e-16
6160.0 1.06185e-16
6161.5 1.18361e-16
6163.0 1.12486e-16
6164.5 9.91008e-17
6166.0 9.90024e-17
6167.5 9.31325e-17
6169.0 8.25659e-17
6170.5 9.03897e-17
6172.0 9.19321e-17
6173.5 1.01296e-16
6175.0 1.00352e-16
6176.5 9.74206e-17
6178.0 9.55799e-17
6179.5 8.94288e-17
6181.0 1.04313e-16
6182.5 1.10782e-16
6184.0 1.04182e-16
6185.5 9.98496e-17
6187.0 9.71238e-17
6188.5 9.94763e-17
6190.0 9.57369e-17
6191.5 9.49721e-17
6193.0 9.94205e-17
6194.5 9.33084e-17
6196.0 1.06379e-16
6197.5 1.18415e-16
6199.0 1.06414e-16
6200.5 9.59142e-17
6202.0 9.89891e-17
6203.5 1.03314e-16
6205.0 1.09957e-16
6206.5 1.11534e-16
6208.0 1.00396e-16
6209.5 9.75534e-17
6211.0 8.57527e-17
6212.5 1.01164e-16
6214.0 1.06501e-16
6215.5 9.64291e-17
6217.0 8.63550e-17
6218.5 9.72669e-17
6220.0 9.93875e-17
6221.5 9.07201e-17
6223.0 8.31031e-17
6224.5 1.02748e-16
6226.0 1.03604e-16
6227.5 9.51250e-17
6229.0 9.13980e-17
6230.5 9.16300e-17
6232.0 9.77531e-17
6233.5 1.11767e-16
6235.0 9.31630e-17
6236.5 9.81123e-17
6238.0 1.13427e-16
6239.5 1.08404e-16
6241.0 9.46085e-17
6242.5 9.44147e-17
6244.0 9.96747e-17
6245.5 1.04549e-16
6247.0 9.52204e-17
6248.5 9.28429e-17
6250.0 1.03016e-16
6251.5 1.00667e-16
6253.0 9.74863e-17
6254.5 9.55828e-17
6256.0 1.03048e-16
6257.5 1.08665e-16
6259.0 1.02820e-16
6260.5 9.80229e-17
6262.0 9.05290e-17
6263.5 9.96254e-17
6265.0 9.97003e-17
6266.5 1.02032e-16
6268.0 1.11071e-16
6269.5 1.02089e-16
6271.0 1.04547e-16
6272.5 1.09911e-16
6274.0 1.02513e-16
6275.5 9.86919e-17
6277.0 8.83649e-17
6278.5 8.66797e-17
6280.0 9.11551e-17
6281.5 9.00630e-17
6283.0 1.03549e-16
6284.5 9.92830e-17
6286.0 9.24017e-17
6287.5 9.06719e-17
6289.0 9.64264e-17
6290.5 9.84839e-17
6292.0 1.03375e-16
6293.5 1.00113e-16
6295.0 9.76724e-17
6296.5 1.01917e-16
6298.0 1.01113e-16
6299.5 1.12802e-16
6301.0 1.42049e-16
6302.5 1.21863e-16
6304.0 1.06664e-16
6305.5 1.06186e-16
6307.0 1.00055e-16
6308.5 9.42313e-17
6310.0 9.73964e-17
6311.5 9.26714e-17
6313.0 1.00958e-16
6314.5 1.08762e-16
6316.0 1.04340e-16
6317.5 1.06126e-16
6319.0 1.28351e-16
6320.5 1.09850e-16
6322.0 8.27438e-17
6323.5 9.01264e-17
6325.0 8.85278e-17
6326.5 8.78621e-17
6328.0 1.00835e-16
6329.5 9.87014e-17
6331.0 1.08764e-16
6332.5 9.96899e-17
6334.0 9.05702e-17
6335.5 9.50364e-17
6337.0 1.00883e-16
6338.5 9.20799e-17
6340.0 1.10607e-16
6341.5 1.16790e-16
6343.0 1.19534e-16
6344.5 1.04319e-16
6346.0 9.38290e-17
6347.5 1.00367e-16
6349.0 1.05570e-16
6350.5 1.00774e-16
6352.0 1.01422e-16
6353.5 8.71577e-17
6355.0 8.94127e-17
6356.5 9.34858e-17
6358.0 1.06636e-16
6359.5 9.89363e-17
6361.0 1.01440e-16
6362.5 9.16833e-17
6364.0 1.02447e-16
6365.5 1.00666e-16
6367.0 9.88384e-17
6368.5 1.15795e-16
6370.0 1.07331e-16
6371.5 9.73652e-17
6373.0 1.01223e-16
6374.5 9.63911e-17
6376.0 8.31325e-17
6377.5 7.88045e-17
6379.0 9.11450e-17
6380.5 9.36415e-17
6382.0 9.92528e-17
6383.5 1.01330e-16
6385.0 1.04530e-16
6386.5 1.12126e-16
6388.0 1.11410e-16
6389.5 1.10018e-16
6391.0 1.08629e-16
6392.5 1.00401e-16
6394.0 9.77665e-17
6395.5 9.40428e-17
6397.0 9.50883e-17
6398.5 1.05883e-16
6400.0 1.05341e-16
6401.5 1.05544e-16
6403.0 1.04144e-16
6404.5 1.03948e-16
6406.0 1.08233e-16
6407.5 1.00325e-16
6409.0 1.00482e-16
6410.5 9.80305e-17
6412.0 1.07127e-16
6413.5 1.08473e-16
6415.0 9.47700e-17
6416.5 9.82884e-17
6418.0 9.98109e-17
6419.5 1.04450e-16
6421.0 9.70505e-17
6422.5 9.72540e-17
6424.0 9.67157e-17
6425.5 9.42810e-17
6427.0 9.51488e-17
6428.5 9.79120e-17
6430.0 1.05330e-16
6431.5 9.91062e-17
6433.0 9.59080e-17
6434.5 9.66563e-17
6436.0 1.14202e-16
6437.5 1.09462e-16
6439.0 1.05420e-16
6440.5 1.09629e-16
6442.0 1.05686e-16
6443.5 1.15149e-16
6445.0 1.12731e-16
6446.5 1.03232e-16
6448.0 9.71391e-17
6449.5 1.03718e-16
6451.0 1.00829e-16
6452.5 8.71372e-17
6454.0 8.94793e-17
6455.5 8.78921e-17
6457.0 1.03582e-16
6458.5 1.10483e-16
6460.0 1.10839e-16
6461.5 1.09399e-16
6463.0 1.00684e-16
6464.5 1.00542e-16
6466.0 1.04568e-16
6467.5 1.01372e-16
6469.0 1.05180e-16
6470.5 9.91584e-17
6472.0 1.02822e-16
6473.5 9.92326e-17
6475.0 1.07175e-16
6476.5 1.23410e-16
6478.0 1.13531e-16
6479.5 1.18479e-16
6481.0 1.05032e-16
6482.5 1.05352e-16
6484.0 1.09338e-16
6485.5 1.02807e-16
6487.0 9.33544e-17
6488.5 1.04195e-16
6490.0 9.96354e-17
6491.5 9.58320e-17
6493.0 1.06080e-16
6494.5 1.11321e-16
6496.0 1.00721e-16
6497.5 1.03396e-16
6499.0 1.09023e-16
6500.5 1.06336e-16
6502.0 1.08896e-16
6503.5 1.13548e-16
6505.0 1.04221e-16
6506.5 9.70296e-17
6508.0 8.94503e-17
6509.5 9.47937e-17
6511.0 1.07966e-16
6512.5 1.06318e-16
6514.0 1.07538e-16
6515.5 1.11400e-16
6517.0 1.01836e-16
6518.5 9.32393e-17
6520.0 1.01122e-16
6521.5 1.09534e-16
6523.0 1.13800e-16
6524.5 1.11427e-16
6526.0 1.02246e-16
6527.5 1.05800e-16
6529.0 1.12049e-16
6530.5 9.80247e-17
6532.0 8.67305e-17
6533.5 8.57965e-17
6535.0 9.75562e-17
6536.5 1.06688e-16
6538.0 1.01284e-16
6539.5 1.12681e-16
6541.0 1.04784e-16
6542.5 1.03823e-16
6544.0 9.77815e-17
6545.5 1.11756e-16
6547.0 1.12403e-16
6548.5 9.99384e-17
6550.0 9.55653e-17
6551.5 1.10947e-16
6553.0 1.08296e-16
6554.5 9.16291e-17
6556.0 9.89617e-17
6557.5 9.19998e-17
6559.0 9.10985e-17
6560.5 1.05235e-16
6562.0 1.10935e-16
6563.5 1.05043e-16
6565.0 1.05799e-16
6566.5 1.08926e-16
6568.0 1.08562e-16
6569.5 9.93486e-17
6571.0 1.13676e-16
6572.5 1.23468e-16
6574.0 1.23596e-16
6575.5 1.20938e-16
6577.0 1.23366e-16
6578.5 1.08121e-16
6580.0 1.11728e-16
6581.5 1.11137e-16
6583.0 1.04811e-16
6584.5 8.90684e-17
6586.0 1.01183e-16
6587.5 1.04644e-16
6589.0 1.03727e-16
6590.5 1.03625e-16
6592.0 9.85051e-17
6593.5 9.46786e-17
6595.0 1.02877e-16
6596.5 1.00893e-16
6598.0 9.88716e-17
6599.5 1.05772e-16
6601.0 1.13513e-16
6602.5 1.03188e-16
6604.0 1.04056e-16
6605.5 9.98486e-17
6607.0 1.09427e-16
6608.5 1.11734e-16
6610.0 1.03901e-16
6611.5 1.11637e-16
6613.0 1.06202e-16
6614.5 1.08652e-16
6616.0 1.08033e-16
6617.5 9.54524e-17
6619.0 9.93688e-17
6620.5 1.03299e-16
6622.0 1.05540e-16
6623.5 9.66281e-17
6625.0 1.01341e-16
6626.5 1.00936e-16
6628.0 1.07279e-16
6629.5 1.08095e-16
6631.0 9.81980e-17
6632.5 1.00950e-16
6634.0 1.06425e-16
6635.5 1.16061e-16
6637.0 1.07148e-16
6638.5 1.04284e-16
6640.0 1.11579e-16
6641.5 1.04342e-16
6643.0 9.49142e-17
6644.5 1.04618e-16
6646.0 9.65206e-17
6647.5 9.54772e-17
6649.0 1.01927e-16
6650.5 9.82460e-17
6652.0 9.59850e-17
6653.5 9.80626e-17
6655.0 9.48482e-17
6656.5 8.82838e-17
6658.0 1.09141e-16
6659.5 1.09957e-16
6661.0 1.00528e-16
6662.5 9.92188e-17
6664.0 1.01950e-16
6665.5 1.05476e-16
6667.0 1.06690e-16
6668.5 1.03809e-16
6670.0 1.02696e-16
6671.5 1.01856e-16
6673.0 9.96316e-17
6674.5 9.54210e-17
6676.0 9.37770e-17
6677.5 9.81637e-17
6679.0 1.08458e-16
6680.5 1.08881e-16
6682.0 9.33086e-17
6683.5 9.22170e-17
6685.0 1.04874e-16
6686.5 1.10608e-16
6688.0 1.04564e-16
6689.5 1.11328e-16
6691.0 1.09152e-16
6692.5 1.09019e-16
6694.0 1.06489e-16
6695.5 1.07589e-16
6697.0 9.68327e-17
6698.5 1.01145e-16
6700.0 1.00719e-16
6701.5 9.79340e-17
6703.0 9.25226e-17
6704.5 8.70830e-17
6706.0 9.29858e-17
6707.5 9.88873e-17
6709.0 1.04424e-16
6710.5 8.98601e-17
6712.0 9.38096e-17
6713.5 1.00954e-16
6715.0 9.72311e-17
6716.5 9.39353e-17
6718.0 1.02744e-16
6719.5 1.12628e-16
6721.0 1.03344e-16
6722.5 1.08007e-16
6724.0 1.16363e-16
6725.5 1.09758e-16
6727.0 1.01609e-16
6728.5 1.01080e-16
6730.0 9.36744e-17
6731.5 9.47941e-17
6733.0 9.94198e-17
6734.5 1.00143e-16
6736.0 1.00504e-16
6737.5 9.92168e-17
6739.0 1.05012e-16
6740.5 1.05983e-16
6742.0 1.00580e-16
6743.5 1.03114e-16
6745.0 1.04157e-16
6746.5 9.86571e-17
6748.0 1.01714e-16
6749.5 1.00263e-16
6751.0 1.08077e-16
6752.5 1.17094e-16
6754.0 1.05952e-16
6755.5 1.03166e-16
6757.0 1.07677e-16
6758.5 9.97528e-17
6760.0 9.29183e-17
6761.5 9.14596e-17
6763.0 1.11031e-16
6764.5 1.02371e-16
6766.0 9.26619e-17
6767.5 8.90593e-17
6769.0 9.39019e-17
6770.5 9.70328e-17
6772.0 8.63734e-17
6773.5 8.19927e-17
6775.0 8.17142e-17
6776.5 7.37315e-17
6778.0 8.72052e-17
6779.5 9.58460e-17
6781.0 9.24082e-17
6782.5 9.60091e-17
6784.0 9.64039e-17
6785.5 9.97751e-17
6787.0 1.02990e-16
6788.5 1.06920e-16
6790.0 1.03687e-16
6791.5 9.78050e-17
6793.0 9.85184e-17
6794.5 1.06366e-16
6796.0 1.00991e-16
6797.5 1.03467e-16
6799.0 1.04009e-16
6800.5 1.07630e-16
6802.0 1.05570e-16
6803.5 1.04940e-16
6805.0 9.77966e-17
6806.5 1.02574e-16
6808.0 1.11548e-16
6809.5 1.12890e-16
6811.0 1.15959e-16
6812.5 1.11200e-16
6814.0 1.13805e-16
6815.5 1.04379e-16
6817.0 9.48486e-17
6818.5 9.76195e-17
6820.0 1.09617e-16
6821.5 1.16177e-16
6823.0 1.16822e-16
6824.5 1.14108e-16
6826.0 1.09213e-16
6827.5 9.60481e-17
6829.0 1.03575e-16
6830.5 1.00621e-16
6832.0 9.33264e-17
6833.5 9.72491e-17
6835.0 9.71511e-17
6836.5 1.01107e-16
6838.0 9.15027e-17
6839.5 9.25174e-17
6841.0 9.62839e-17
6842.5 1.6e-16
6844.0 9.52020e-17
6845.5 9.91415e-17
6847.0 1.05733e-16
6848.5 9.91177e-17
6850.0 1.05628e-16
6851.5 1.11241e-16
6853.0 1.06688e-16
6854.5 1.07211e-16
6856.0 1.07790e-16
6857.5 1.00381e-16
6859.0 1.02615e-16
6860.5 1.04319e-16
6862.0 1.12008e-16
6863.5 9.31643e-17
6865.0 9.79339e-17
6866.5 1.01479e-16
6868.0 9.66972e-17
6869.5 8.42647e-17
6871.0 8.73563e-17
6872.5 7.95563e-17
6874.0 8.27709e-17
6875.5 8.36464e-17
6877.0 8.94864e-17
6878.5 8.43902e-17
6880.0 8.78967e-17
6881.5 8.56052e-17
