"Wavelength (Angstroms)" "Combined Flux (erg/s/cm2/A)"
3400.00000 0.00000e+00
3401.50000 -5.08475e-18
3403.00000 -1.09539e-18
3404.50000 4.68599e-19
3406.00000 -4.34969e-18
3407.50000 -3.70673e-18
3409.00000 -1.86233e-18
3410.50000 -5.44283e-19
3412.00000 -2.26978e-18
3413.50000 -1.73158e-18
3415.00000 -1.04590e-18
3416.50000 -5.04927e-18
3418.00000 -3.88692e-18
3419.50000 -1.46081e-18
3421.00000 -1.73540e-18
3422.50000 -1.71048e-18
3424.00000 -3.73260e-18
3425.50000 -1.35769e-18
3427.00000 -3.01193e-18
3428.50000 -3.15678e-18
3430.00000 -1.35978e-18
3431.50000 4.27526e-19
3433.00000 -1.33791e-18
3434.50000 -2.07656e-18
3436.00000 -3.12035e-18
3437.50000 -7.79106e-20
3439.00000 -5.56585e-18
3440.50000 4.06897e-18
3442.00000 1.09353e-18
3443.50000 -1.69150e-18
3445.00000 -2.61720e-18
3446.50000 -3.58395e-18
3448.00000 -3.15687e-18
3449.50000 -2.24890e-18
3451.00000 -5.46686e-19
3452.50000 3.60956e-19
3454.00000 1.99573e-19
3455.50000 -5.71330e-18
3457.00000 -4.49494e-18
3458.50000 -2.68356e-18
3460.00000 -1.78320e-18
3461.50000 -4.11817e-18
3463.00000 -1.49435e-19
3464.50000 -5.38271e-18
3466.00000 -2.98985e-18
3467.50000 -1.36111e-19
3469.00000 -2.64398e-18
3470.50000 9.58379e-19
3472.00000 -3.53943e-18
3473.50000 -2.50866e-18
3475.00000 -2.99423e-18
3476.50000 -2.61119e-18
3478.00000 -4.71340e-18
3479.50000 -6.23887e-18
3481.00000 -1.18041e-18
3482.50000 -1.49913e-18
3484.00000 -2.30241e-18
3485.50000 -2.54248e-18
3487.00000 -4.95924e-18
3488.50000 -8.29214e-19
3490.00000 9.18349e-20
3491.50000 -8.35511e-19
3493.00000 -3.12545e-18
3494.50000 -4.90499e-19
3496.00000 -2.06515e-18
3497.50000 1.58001e-18
3499.00000 -3.98152e-18
3500.50000 6.99504e-19
3502.00000 1.08666e-18
3503.50000 2.96513e-18
3505.00000 -2.44860e-19
3506.50000 4.25894e-18
3508.00000 -2.22750e-18
3509.50000 -2.93294e-19
3511.00000 -1.72467e-18
3512.50000 -1.81229e-18
3514.00000 -3.51150e-18
3515.50000 -2.50361e-18
3517.00000 -1.43990e-18
3518.50000 2.77185e-20
3520.00000 2.05826e-19
3521.50000 -1.67351e-18
3523.00000 -3.15419e-20
3524.50000 1.58400e-18
3526.00000 8.19665e-19
3527.50000 1.92069e-18
3529.00000 1.12672e-18
3530.50000 1.30642e-19
3532.00000 -7.57226e-20
3533.50000 -4.70129e-19
3535.00000 -1.19856e-18
3536.50000 -1.10906e-18
3538.00000 8.01055e-19
3539.50000 4.26091e-19
3541.00000 -3.05901e-18
3542.50000 -3.00324e-18
3544.00000 -8.02900e-20
3545.50000 -2.01723e-18
3547.00000 8.25866e-19
3548.50000 -6.51295e-19
3550.00000 -3.99198e-18
3551.50000 -4.24512e-18
3553.00000 2.08485e-18
3554.50000 1.97586e-18
3556.00000 6.65572e-19
3557.50000 5.32772e-19
3559.00000 -8.24787e-19
3560.50000 -4.44357e-18
3562.00000 -9.59268e-20
3563.50000 -1.58806e-18
3565.00000 6.14422e-19
3566.50000 2.43273e-18
3568.00000 -3.70383e-21
3569.50000 8.75052e-19
3571.00000 1.89698e-18
3572.50000 1.45634e-18
3574.00000 1.06486e-18
3575.50000 1.26750e-18
3577.00000 8.03146e-19
3578.50000 9.15933e-19
3580.00000 8.10292e-19
3581.50000 -2.13868e-18
3583.00000 -1.10997e-18
3584.50000 -1.76463e-18
3586.00000 -1.84399e-18
3587.50000 -1.45023e-18
3589.00000 -2.65022e-18
3590.50000 -2.48185e-19
3592.00000 1.50109e-18
3593.50000 4.01595e-19
3595.00000 3.06933e-18
3596.50000 -1.82553e-18
3598.00000 -9.21141e-19
3599.50000 -2.18307e-19
3601.00000 -1.20642e-19
3602.50000 2.32944e-18
3604.00000 6.15345e-19
3605.50000 -3.89588e-18
3607.00000 -6.35838e-19
3608.50000 -1.06446e-18
3610.00000 -1.52836e-18
3611.50000 -1.67216e-18
3613.00000 -6.68703e-19
3614.50000 -1.46423e-18
3616.00000 -1.53289e-18
3617.50000 -3.12440e-18
3619.00000 -4.26379e-19
3620.50000 -2.58878e-18
3622.00000 -5.20403e-19
3623.50000 -2.34445e-18
3625.00000 2.88243e-19
3626.50000 1.14016e-19
3628.00000 -1.33318e-18
3629.50000 -3.50351e-18
3631.00000 -3.49430e-18
3632.50000 -1.08698e-18
3634.00000 -3.39994e-19
3635.50000 1.35147e-19
3637.00000 1.32211e-18
3638.50000 4.17419e-19
