"Wavelength (Angstroms)" "Combined Flux (erg/s/cm2/A)"
3400.00000 0.00000e+00
3401.50000 -4.75748e-18
3403.00000 -5.73899e-19
3404.50000 -3.50174e-20
3406.00000 -3.75486e-18
3407.50000 -3.55206e-18
3409.00000 -2.41780e-18
3410.50000 3.62339e-19
3412.00000 -2.87478e-18
3413.50000 -2.80387e-18
3415.00000 -1.27131e-18
3416.50000 -3.56888e-18
3418.00000 -2.27960e-18
3419.50000 -1.66417e-18
3421.00000 -1.62838e-18
3422.50000 -2.54990e-19
3424.00000 -3.47171e-18
3425.50000 -1.39970e-18
3427.00000 -2.85457e-18
3428.50000 -1.98186e-18
3430.00000 -1.75859e-18
3431.50000 -2.82502e-19
3433.00000 -1.19387e-18
3434.50000 -2.17428e-18
3436.00000 -2.52731e-18
3437.50000 3.93173e-19
3439.00000 -2.86205e-18
3440.50000 3.76281e-18
3442.00000 1.97922e-18
3443.50000 -1.09089e-19
3445.00000 -2.86760e-19
3446.50000 -4.38090e-19
3448.00000 -2.05941e-18
3449.50000 -1.44891e-18
3451.00000 -6.01998e-19
3452.50000 3.66039e-20
3454.00000 -8.61950e-19
3455.50000 -4.53077e-18
3457.00000 -3.27050e-18
3458.50000 -7.28515e-19
3460.00000 -9.55120e-19
3461.50000 -5.01897e-18
3463.00000 1.26839e-18
3464.50000 -5.61014e-18
3466.00000 -3.28781e-18
3467.50000 -8.10342e-19
3469.00000 -1.94510e-18
3470.50000 7.39239e-19
3472.00000 -3.96661e-18
3473.50000 -1.67622e-18
3475.00000 -2.98421e-18
3476.50000 -2.95104e-18
3478.00000 -4.10320e-18
3479.50000 -6.17634e-18
3481.00000 -6.21198e-19
3482.50000 -9.28146e-19
3484.00000 -8.79569e-19
3485.50000 -3.89540e-18
3487.00000 -4.88256e-18
3488.50000 -4.92854e-19
3490.00000 1.37924e-19
3491.50000 8.81962e-19
3493.00000 -2.27391e-18
3494.50000 2.24090e-18
3496.00000 -1.11511e-18
3497.50000 1.78915e-18
3499.00000 -1.76274e-18
3500.50000 1.68653e-18
3502.00000 -3.98918e-20
3503.50000 4.59921e-18
3505.00000 1.03912e-20
3506.50000 6.31351e-18
3508.00000 -1.03753e-18
3509.50000 5.99345e-21
3511.00000 -1.51657e-18
3512.50000 -1.31498e-18
3514.00000 -2.55613e-18
3515.50000 -2.29613e-18
3517.00000 -1.72729e-19
3518.50000 1.41496e-18
3520.00000 -1.32155e-18
3521.50000 -4.95895e-19
3523.00000 9.34592e-19
3524.50000 2.52474e-18
3526.00000 1.25331e-18
3527.50000 1.65490e-18
3529.00000 1.13544e-18
3530.50000 1.69522e-18
3532.00000 1.07319e-18
3533.50000 6.21469e-19
3535.00000 -1.05437e-18
3536.50000 -1.15978e-18
3538.00000 9.87235e-19
3539.50000 1.82114e-18
3541.00000 -2.00249e-18
3542.50000 -1.92757e-18
3544.00000 -5.22499e-19
3545.50000 -1.01997e-18
3547.00000 1.36210e-18
3548.50000 1.27523e-20
3550.00000 -3.91970e-18
3551.50000 -3.91129e-18
3553.00000 2.07950e-18
3554.50000 1.48327e-18
3556.00000 -4.36603e-19
3557.50000 2.19623e-18
3559.00000 4.52954e-19
3560.50000 -4.50110e-18
3562.00000 -2.48460e-19
3563.50000 9.45336e-20
3565.00000 9.90215e-19
3566.50000 3.02290e-18
3568.00000 3.51966e-19
3569.50000 2.29148e-18
3571.00000 2.31960e-18
3572.50000 1.92133e-18
3574.00000 1.38290e-18
3575.50000 8.46916e-19
3577.00000 1.77855e-18
3578.50000 2.60946e-18
3580.00000 8.07606e-19
3581.50000 -1.11677e-18
3583.00000 -2.04650e-19
3584.50000 -1.63206e-18
3586.00000 -1.70046e-18
3587.50000 -7.80314e-19
3589.00000 -2.85585e-18
3590.50000 1.20999e-18
3592.00000 1.31833e-18
3593.50000 9.17108e-19
3595.00000 3.45819e-18
3596.50000 -1.10704e-18
3598.00000 -3.23434e-19
3599.50000 7.95669e-19
3601.00000 3.21867e-19
3602.50000 3.01028e-18
3604.00000 9.17103e-19
3605.50000 -2.62739e-18
3607.00000 -2.36504e-19
3608.50000 3.01817e-19
3610.00000 -5.29182e-19
3611.50000 -1.05305e-18
3613.00000 -7.68439e-19
3614.50000 -1.08669e-18
3616.00000 -6.31687e-19
3617.50000 -2.25196e-18
3619.00000 4.92097e-19
3620.50000 -2.29534e-18
3622.00000 -9.86523e-19
3623.50000 -2.40023e-18
3625.00000 1.29104e-18
3626.50000 1.71867e-18
3628.00000 -3.44638e-19
3629.50000 -2.02334e-18
3631.00000 -2.53787e-18
3632.50000 -1.23065e-18
3634.00000 9.20086e-19
3635.50000 1.71461e-18
3637.00000 1.81572e-18
3638.50000 7.00407e-19
3640.00000 5.30101e-19
3641.50000 -5.66538e-19
3643.00000 -1.80631e-18
3644.50000 -1.50480e-18
3646.00000 7.05658e-19
3647.50000 8.58589e-19
3649.00000 3.85802e-18
3650.50000 1.64440e-18
3652.00000 2.35998e-18
3653.50000 7.62815e-19
3655.00000 -1.06816e-18
3656.50000 -7.75045e-19
3658.00000 1.44588e-18
3659.50000 -1.75173e-19
3661.00000 -9.88393e-20
3662.50000 -7.09846e-19
3664.00000 4.59961e-19
3665.50000 -8.40916e-19
3667.00000 1.08305e-18
3668.50000 -1.79249e-18
3670.00000 -1.46130e-18
3671.50000 8.76271e-19
3673.00000 1.12711e-18
3674.50000 -7.18843e-19
3676.00000 -1.07548e-18
3677.50000 -2.63232e-18
3679.00000 -4.07866e-19
3680.50000 -2.60791e-19
3682.00000 -1.40527e-18
3683.50000 5.10567e-19
3685.00000 -4.65424e-19
3686.50000 7.37468e-19
3688.00000 2.32042e-19
3689.50000 2.06655e-18
3691.00000 7.71737e-19
3692.50000 1.17415e-18
3694.00000 1.23157e-19
3695.50000 1.49239e-18
3697.00000 6.16426e-19
3698.50000 1.21466e-18
3700.00000 1.32206e-19
3701.50000 1.26610e-18
3703.00000 2.39846e-18
3704.50000 3.66363e-18
3706.00000 2.63777e-18
3707.50000 2.87173e-19
3709.00000 -1.34398e-18
3710.50000 4.47014e-19
3712.00000 1.35847e-18
3713.50000 6.37991e-19
3715.00000 7.59960e-19
3716.50000 2.26262e-18
3718.00000 2.36279e-18
3719.50000 -7.54208e-19
3721.00000 1.53526e-18
3722.50000 1.50442e-18
3724.00000 3.83664e-18
3725.50000 1.00799e-18
3727.00000 9.12437e-19
3728.50000 1.33012e-18
3730.00000 2.30850e-19
3731.50000 -2.02270e-19
3733.00000 2.64454e-18
3734.50000 5.65350e-19
3736.00000 4.11191e-19
3737.50000 2.60190e-18
3739.00000 3.93493e-19
3740.50000 6.17742e-19
3742.00000 2.53238e-18
3743.50000 2.86691e-18
3745.00000 1.59065e-18
3746.50000 4.20460e-18
3748.00000 1.63624e-18
3749.50000 2.20577e-18
3751.00000 1.32611e-18
3752.50000 1.08526e-18
3754.00000 1.43849e-18
3755.50000 2.17239e-18
3757.00000 1.30514e-18
3758.50000 1.53237e-18
3760.00000 1.25563e-18
3761.50000 2.59606e-19
3763.00000 1.24307e-18
3764.50000 5.72306e-19
3766.00000 1.41279e-18
3767.50000 2.03380e-18
3769.00000 2.59778e-18
3770.50000 1.94919e-18
3772.00000 3.76449e-18
3773.50000 2.38590e-18
3775.00000 2.70476e-18
3776.50000 2.14336e-18
3778.00000 -1.87255e-20
3779.50000 1.56760e-18
3781.00000 3.80754e-18
3782.50000 1.19871e-18
3784.00000 2.71441e-18
3785.50000 3.56497e-18
3787.00000 3.21639e-18
3788.50000 1.99378e-18
3790.00000 7.33779e-19
3791.50000 1.72009e-18
3793.00000 1.37863e-18
3794.50000 -8.56078e-19
3796.00000 -1.24450e-20
3797.50000 1.61865e-19
3799.00000 -9.37259e-20
3800.50000 -6.55993e-19
3802.00000 9.62349e-19
3803.50000 1.64469e-18
3805.00000 6.47369e-19
3806.50000 1.13799e-18
3808.00000 1.89124e-18
3809.50000 1.36870e-18
3811.00000 1.02369e-18
3812.50000 2.20656e-18
3814.00000 2.60062e-18
3815.50000 1.85785e-18
3817.00000 4.17264e-19
3818.50000 -1.49037e-18
3820.00000 -6.59605e-19
3821.50000 1.66942e-18
3823.00000 2.08522e-18
3824.50000 7.12601e-21
3826.00000 6.63912e-20
3827.50000 2.70579e-18
3829.00000 1.61013e-18
3830.50000 2.02472e-18
3832.00000 1.34792e-18
3833.50000 2.33816e-18
3835.00000 3.52790e-18
3836.50000 1.49628e-18
3838.00000 1.42242e-18
3839.50000 1.88900e-18
3841.00000 2.43693e-18
3842.50000 9.96190e-19
3844.00000 5.28683e-19
3845.50000 1.98446e-18
3847.00000 2.67336e-18
3848.50000 3.00859e-18
3850.00000 1.21714e-18
3851.50000 7.02413e-19
3853.00000 3.25529e-18
3854.50000 9.69462e-19
3856.00000 5.67491e-19
3857.50000 1.17396e-18
3859.00000 1.73765e-18
3860.50000 1.38304e-18
3862.00000 2.02645e-18
3863.50000 9.20431e-19
3865.00000 1.36030e-19
3866.50000 1.27435e-18
3868.00000 1.44125e-18
3869.50000 3.95314e-18
3871.00000 1.48225e-18
3872.50000 1.16268e-18
3874.00000 1.35983e-18
3875.50000 1.08356e-19
3877.00000 1.52916e-18
3878.50000 3.03557e-19
3880.00000 5.93810e-19
3881.50000 1.29226e-18
3883.00000 8.31687e-19
3884.50000 2.00256e-19
3886.00000 -4.32348e-19
3887.50000 -6.95725e-19
3889.00000 2.30320e-18
3890.50000 1.53502e-18
3892.00000 1.44952e-18
3893.50000 1.48513e-18
3895.00000 1.31894e-18
3896.50000 1.30446e-18
3898.00000 2.02732e-18
3899.50000 1.13719e-18
3901.00000 1.53834e-18
3902.50000 1.66391e-18
3904.00000 1.13956e-18
3905.50000 1.75237e-18
3907.00000 2.92123e-18
3908.50000 5.69162e-19
3910.00000 7.80616e-19
3911.50000 1.44800e-18
3913.00000 5.68053e-19
3914.50000 2.83451e-18
3916.00000 2.10173e-18
3917.50000 7.18795e-19
