Object Name,New Flux,imgExt_1b,imgExt_1r,imgExt_2b,imgExt_2r
J0742,1.10E-16,1,1,1,1
J0742_AdjGal,,3,2,3,2
J0742-2,1.10E-16,1,1,1,1
J0751,2.83E-17,1,1,1,2
J0800,8.91E-17,1,1,1,1
J0807,5.78E-17,1,1,1,1
J0832,3.33E-17,1,1,1,1
J0950,6.85E-17,1,1,1,1
J1037,1.48E-16,1,1,1,1
J1246,4.26E-17,1,1,1,1
J1447,2.97E-17,1,1,1,1
J1514,4.34E-17,1,1,1,1
J1603,3.97E-17,1,1,1,1
J2109,1.71E-16,1,1,1,1
J1204,4.22E-17,1,1,1,1
J1208,2.87E-17,1,1,1,1
WISE 0342,,1,1,1,1
WISE 0612 (01-06),,1,3,1,1
WISE 0612 (01-26),,1,1,1,1
WISE 0612 (02-27)\Obs1,,1,4,1,2
WISE 0612 (02-27)\Obs2,,1,2,1,2
WISE 0612 (02-27)\Obs3,,1,2,1,2
WISE 0612 (10-23)\Obs1,,1,2,1,2
WISE 0612 (10-23)\Obs2,,1,2,1,2
WISE 0612 (10-23)\Obs3,,1,2,1,2
WISE 2345,,1,1,1,1
